Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-29,-26,-18,-8,-10,-100,-6,-8
-17,-16,-12,16,4,-112,-2,-6
-17,-4,-12,-4,-26,-112,-2,4
27,-14,-4,-8,-22,-96,8,-8
3,12,0,10,-42,-80,-14,12
-21,-4,2,-4,-8,-68,0,-4
-5,-2,-12,-8,-10,-48,4,12
-5,8,0,-4,-10,-26,-2,-14
-5,-26,-22,-36,2,8,-6,-16
21,-4,0,-4,2,32,10,-8
21,2,-4,-24,16,20,4,-22
-1,10,-14,-4,-20,82,-20,4
15,-4,-16,-12,-30,110,-2,18
25,8,-42,-8,-22,108,10,6
-5,-26,-24,-20,-24,120,10,-12
-5,-16,-12,-4,0,98,-2,-4
-13,-16,6,8,-18,122,-2,-4
-17,-4,30,-8,-18,122,10,4
-13,8,12,-4,-8,112,2,2
-5,0,28,-4,6,64,-4,12
-13,-16,6,-10,-16,60,2,8
3,-4,-8,-4,-20,38,-18,4
-3,18,-12,8,-2,-10,-2,-2
23,-14,8,-2,-8,-12,4,20
-27,-6,2,10,-18,-26,-2,-30
-17,-12,-12,-6,0,-64,26,-4
-11,-14,-22,-6,-18,-70,10,-8
-21,-4,-4,-42,-12,-96,-6,6
-19,-4,-12,-16,10,-100,-2,-6
-21,-4,-24,-4,-26,-110,-4,20
-15,-14,-16,-18,-20,-114,-2,6
-17,-8,-12,6,-16,-108,2,-14
-5,-4,-10,0,10,-108,4,-4
-17,-30,-12,16,-10,-112,-2,-20
-15,-4,-24,-16,10,-72,-14,0
9,-22,12,-4,2,-70,-8,-20
-5,-14,-14,-20,-12,-62,-4,4
-17,10,-14,12,-8,-34,-6,-16
-5,-14,-14,-16,-6,10,-8,12
15,-20,0,8,-22,20,-26,-4
-1,-4,0,0,-22,58,-22,4
1,12,4,16,-6,76,-6,-20
1,-6,8,12,2,80,-4,6
-7,12,0,-16,-18,112,-10,-20
11,0,-2,-8,-16,110,10,4
15,-4,6,-4,10,112,-2,4
3,-12,20,8,2,122,0,12
25,-2,8,-2,2,120,10,0
3,2,12,-20,-6,92,10,4
-13,-28,-2,-16,-22,106,18,22
-1,-4,0,-4,-10,80,18,4
3,-14,-12,16,-18,62,10,6
3,-4,-10,20,-6,28,2,24
13,12,0,6,4,-8,-10,-4
15,-8,0,-16,-18,-34,0,12
-5,-12,0,14,-22,-62,-22,8
-5,-10,8,-4,-18,-74,2,10
-19,-4,-2,-16,-18,-72,4,20
7,-2,8,-8,-10,-96,-10,10
1,12,8,-20,-14,-92,-18,2
3,-4,0,10,4,-112,-2,18
-3,-4,8,6,-6,-100,-6,24
-3,20,-14,-4,-6,-98,-12,2
-13,-4,0,-4,-20,-116,10,20
-17,12,-16,12,-18,-80,-2,-18
3,20,-2,-16,-18,-74,-2,8
27,8,-12,0,-28,-60,-2,8
21,-2,10,-4,-20,-36,16,8
7,18,4,30,-20,14,10,16
-5,16,-16,-12,-22,44,2,12
5,-6,-8,-4,-22,44,10,20
3,-14,-12,-4,22,66,10,8
5,18,8,-4,-22,92,12,24
11,12,4,-22,-8,92,2,-16
5,-4,4,-4,-20,120,2,-8
11,8,2,0,-28,120,-20,4
11,-4,-8,-4,-22,142,-2,6
-3,-2,10,-6,-10,114,2,6
-21,-4,-12,-4,10,106,-2,8
-5,-4,10,-4,-16,84,-2,-8
1,12,2,-4,-8,60,28,12
5,-6,4,-6,-12,44,-8,14
1,-6,-2,-8,-22,28,10,10
-5,-2,0,8,-18,-4,-2,-8
-1,10,12,8,4,-32,20,12
-1,-8,2,-10,2,-48,0,-8
-17,-4,4,-2,-10,-80,30,-14
-37,-6,-4,8,-40,-92,-2,-8
-15,-4,0,14,-18,-118,-2,-24
-3,-4,0,16,-22,-116,-8,-20
-17,-8,-6,-4,-30,-114,6,-32
-13,-4,-10,0,-20,-120,-6,-8
-11,2,0,10,-16,-116,-2,-4
-11,10,-28,-18,-22,-106,-2,4
-5,14,-12,16,-18,-70,-20,4
-15,4,-8,0,-18,-90,-2,-32
1,18,6,-20,-8,-52,-12,12
-13,18,4,8,2,-20,-2,-8
-13,18,8,-4,-28,-4,16,-20
-13,16,0,12,-22,40,12,12
15,8,4,-16,6,44,8,4
-13,4,10,-20,-22,80,-8,14
-13,-4,8,6,4,80,12,-16
-5,-6,-2,-4,-8,106,-12,-16
-7,-4,0,16,10,124,-4,-24
-19,-8,12,-2,18,116,10,-18
-13,-4,0,-4,-22,122,2,-6
